 | azW:1.039 | Still:0 | State:2
V:0.004 | P:0.000 | AccMag:1.052 | azW:1.052 | Still:0 | State:2
V:0.007 | P:0.000 | AccMag:1.050 | azW:1.050 | Still:0 | State:2
V:0.011 | P:0.000 | AccMag:1.045 | azW:1.045 | Still:0 | State:2
V:0.013 | P:0.001 | AccMag:1.037 | azW:1.037 | Still:0 | State:2
V:0.015 | P:0.001 | AccMag:1.032 | azW:1.032 | Still:0 | State:2
V:0.016 | P:0.001 | AccMag:1.029 | azW:1.029 | Still:0 | State:2
V:0.016 | P:0.002 | AccMag:1.025 | azW:1.025 | Still:0 | State:2
V:0.015 | P:0.002 | AccMag:1.031 | azW:1.031 | Still:0 | State:2
V:0.000 | P:0.000 | AccMag:1.025 | azW:1.025 | Still:1 | State:2
V:0.000 | P:0.000 | AccMag:1.016 | azW:1.016 | Still:1 | State:2
V:-0.000 | P:-0.000 | AccMag:1.020 | azW:1.020 | Still:0 | State:2
V:-0.002 | P:-0.000 | AccMag:1.022 | azW:1.022 | Still:0 | State:2
V:-0.003 | P:-0.000 | AccMag:1.035 | azW:1.035 | Still:0 | State:2
V:-0.003 | P:-0.000 | AccMag:1.042 | azW:1.042 | Still:0 | State:2
V:-0.000 | P:-0.000 | AccMag:1.045 | azW:1.045 | Still:0 | State:2
V:0.002 | P:-0.000 | AccMag:1.042 | azW:1.042 | Still:0 | State:2
V:0.004 | P:-0.000 | AccMag:1.033 | azW:1.033 | Still:0 | State:2
V:0.006 | P:0.000 | AccMag:1.032 | azW:1.032 | Still:0 | State:2
V:0.006 | P:0.000 | AccMag:1.043 | azW:1.043 | Still:0 | State:2
V:0.008 | P:0.000 | AccMag:1.058 | azW:1.058 | Still:0 | State:2
V:0.012 | P:0.001 | AccMag:1.055 | azW:1.055 | Still:0 | State:2
V:0.017 | P:0.001 | AccMag:1.052 | azW:1.051 | Still:0 | State:2
V:0.020 | P:0.001 | AccMag:1.066 | azW:1.066 | Still:0 | State:2
V:0.025 | P:0.002 | AccMag:1.082 | azW:1.081 | Still:0 | State:2
V:0.033 | P:0.002 | AccMag:1.066 | azW:1.066 | Still:0 | State:2
V:0.040 | P:0.003 | AccMag:1.046 | azW:1.046 | Still:0 | State:2
V:0.044 | P:0.004 | AccMag:1.045 | azW:1.045 | Still:0 | State:2
>>> STATE: CONCENTRIC
V:-0.000 | P:0.004 | AccMag:1.025 | azW:1.024 | Still:0 | State:3
V:-0.001 | P:0.004 | AccMag:1.007 | azW:1.007 | Still:0 | State:3
V:-0.004 | P:0.004 | AccMag:1.007 | azW:1.006 | Still:0 | State:3
V:-0.008 | P:0.004 | AccMag:0.983 | azW:0.980 | Still:0 | State:3
V:-0.015 | P:0.004 | AccMag:0.984 | azW:0.981 | Still:0 | State:3
V:-0.023 | P:0.004 | AccMag:1.010 | azW:1.009 | Still:0 | State:3
V:-0.027 | P:0.003 | AccMag:1.015 | azW:1.015 | Still:0 | State:3
V:-0.030 | P:0.002 | AccMag:0.993 | azW:0.993 | Still:0 | State:3
V:-0.036 | P:0.002 | AccMag:1.014 | azW:1.013 | Still:0 | State:3
V:-0.040 | P:0.001 | AccMag:1.016 | azW:1.016 | Still:0 | State:3
V:-0.042 | P:0.000 | AccMag:1.032 | azW:1.032 | Still:0 | State:3
V:-0.043 | P:-0.001 | AccMag:1.042 | azW:1.041 | Still:0 | State:3
V:-0.040 | P:-0.002 | AccMag:1.062 | azW:1.062 | Still:0 | State:3
V:-0.035 | P:-0.003 | AccMag:1.070 | azW:1.069 | Still:0 | State:3
V:-0.028 | P:-0.003 | AccMag:1.051 | azW:1.049 | Still:0 | State:3
